,title,description,date,price,img,path
31,Lg 260ltr inverter refrigerator in excellent well maintained condition,Lg 260ltr inverter refrigerator in excellent in well maintained condition  just 2 yrs old 2019 manufacturers mention,2021-09-20T12:31:57+0000,"₹ 15,000",https://apollo-singapore.akamaized.net:443/v1/files/e9p9pemzfww03-IN/image,images/31.png
32,Frozen Foods,Alert Non-Veg Lovers: Chicken Luckhnawi Kebab and Chicken Salami!,2021-09-20T12:11:34+0000,₹ 220,https://apollo-singapore.akamaized.net:443/v1/files/u50wgcj369uw-IN/image,images/32.png
33,Good condition fridge,Samsung fridge good condition Running   585 litter,2021-09-20T11:54:45+0000,"₹ 55,000",https://apollo-singapore.akamaized.net:443/v1/files/x48g03ugb6wi1-IN/image,images/33.png
34,Samsung Freeze 230 Ltr,Samsung Freeze in very good condition,2021-09-20T11:27:55+0000,"₹ 8,500",https://apollo-singapore.akamaized.net:443/v1/files/0uhfip32ycwm2-IN/image,images/34.png
35,Fridge Samsung  (fridge ),Fridge (samsung),2021-09-20T10:33:41+0000,"₹ 50,000",https://apollo-singapore.akamaized.net:443/v1/files/62aw4zr4dbpl2-IN/image,images/35.png
36,LG Refrigerator in a good condition,AN LG refrigeration in a very good Condition.,2021-09-20T09:39:16+0000,"₹ 10,000",https://apollo-singapore.akamaized.net:443/v1/files/8994x1y9laoo1-IN/image,images/36.png
37,Single door Lg refrigerator,In working position,2021-09-20T09:25:53+0000,"₹ 3,000",https://apollo-singapore.akamaized.net:443/v1/files/17wf2xhiy4au1-IN/image,images/37.png
38,Big size fridge for sale,Refrigerator,2021-09-20T08:39:09+0000,"₹ 22,000",https://apollo-singapore.akamaized.net:443/v1/files/al59gh29rk3r2-IN/image,images/38.png
39,Finance facility available With 1yr warranty + 3 free services,"From the house of KKTVS now open TRUMOTO pre-owned two wheelers Showroom in Nangloi,Delhi,Road side Assistance,Vehicle purchase at best price",2021-09-20T08:31:30+0000,"₹ 55,700",https://apollo-singapore.akamaized.net:443/v1/files/sn29f271pr2m1-IN/image,images/39.png
40,TVS.RADEON  With 1yr warranty + 3 free services,"From the house of KKTVS now open TRUMOTO pre-owned two wheelers Showroom in Nangloi,Delhi,Road side Assistance,Vehicle purchase at best price",2021-09-20T08:30:47+0000,"₹ 49,500",https://apollo-singapore.akamaized.net:443/v1/files/ox6n1o4mne371-IN/image,images/40.png
41,LG 260 litres Frost Free Refrigerator,LG 260 litres Frost Free Refrigerator in working condition,2021-09-20T07:45:29+0000,"₹ 4,000",https://apollo-singapore.akamaized.net:443/v1/files/4uof8en9na55-IN/image,images/41.png
42,Whirlpool fridge 340 ltr,Twin door frost free fridge,2021-09-20T07:40:20+0000,"₹ 5,000",https://apollo-singapore.akamaized.net:443/v1/files/3qaj9fxk944e3-IN/image,images/42.png
43,Deep freezer,Voltas Deep freezer capasity 350 ltr .one year old with bill and 5 year warrenty.Very good condition and cooling is very fast . Thanks ...,2021-09-20T06:11:25+0000,"₹ 25,000",https://apollo-singapore.akamaized.net:443/v1/files/0hoe79vq1yc91-IN/image,images/43.png
44,CU3YGgSU WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FITT,CU3YGgSU WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FITTINGS. ONE YEAR BRAND WARRANTY BRAND NEW PRODUCT FOR YOU AT LOWEST PRICE HURRY UP!!! CASH ON DELIVERY [ cod ] BOOK TODAY  CALL US NOW.,2021-09-20T05:34:57+0000,"₹ 3,499",https://apollo-singapore.akamaized.net:443/v1/files/jwcxq2jul32j3-IN/image,images/44.png
45,DERJTIU34 WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FIT,DERJTIU34 WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FITTINGS. ONE YEAR BRAND WARRANTY BRAND NEW PRODUCT FOR YOU AT LOWEST PRICE HURRY UP!!! CASH ON DELIVERY [ cod ] BOOK TODAY  CALL US NOW.,2021-09-20T05:34:17+0000,"₹ 4,399",https://apollo-singapore.akamaized.net:443/v1/files/ver5czoxqf0n1-IN/image,images/45.png
46,JHCVBDVE WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FITT,JHCVBDVE WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FITTINGS. ONE YEAR BRAND WARRANTY BRAND NEW PRODUCT FOR YOU AT LOWEST PRICE HURRY UP!!! CASH ON DELIVERY [ cod ] BOOK TODAY  CALL US NOW.,2021-09-20T05:27:49+0000,"₹ 3,499",https://apollo-singapore.akamaized.net:443/v1/files/tiukate1noau1-IN/image,images/46.png
47,AVCVATFAEU WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FI,AVCVATFAEU WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FITTINGS. ONE YEAR BRAND WARRANTY BRAND NEW PRODUCT FOR YOU AT LOWEST PRICE HURRY UP!!! CASH ON DELIVERY [ cod ] BOOK TODAY  CALL US NOW.,2021-09-20T05:27:16+0000,"₹ 4,399",https://apollo-singapore.akamaized.net:443/v1/files/9yo8n9gh11xl1-IN/image,images/47.png
48,Small Refrigerator 2-in-1 Car & Home (Blue),"We have a brand new Car Refrigerator two in one it home frendly also, Heating and cooling function brand Name is tropicool 5 L light weight  Price are negotiable but thoda bahot hi",2021-09-19T15:05:13+0000,"₹ 3,000",https://apollo-singapore.akamaized.net:443/v1/files/dwx2ozf4l5ee3-IN/image,images/48.png
49,LG double door 235 litres refrigerator,LG double door refrigerator. 235 litres. Working condition.,2021-09-19T15:01:26+0000,"₹ 5,000",https://apollo-singapore.akamaized.net:443/v1/files/39yx3qqlzn29-IN/image,images/49.png
50,Godrej Single door,"Godrej 221L gross and 213L storage 5Star rating single door fridge with 10yrs(Compressor)+10yrs (Rust Free) warrnty 100%Green environment friendly refrigerator Stabilizer free, 5 year old and 5 year warranty balance",2021-09-19T13:57:31+0000,"₹ 8,800",https://apollo-singapore.akamaized.net:443/v1/files/k4pz4ae4s7fs2-IN/image,images/50.png
51,Fridge Whirlpool Refrigerator,Well Maintained Whirlpool Refrigerator,2021-09-19T13:18:54+0000,"₹ 4,000",https://apollo-singapore.akamaized.net:443/v1/files/e7jdeeuaccli2-IN/image,images/51.png
52,"Brand new, package not opened not used even once, totally sealed",Lg refrigerator 2020,2021-09-19T13:09:42+0000,"₹ 25,000",https://apollo-singapore.akamaized.net:443/v1/files/javndoowirwv3-IN/image,images/52.png
53,GODREJ FRIDGE MAGIC EYE.415 LTR,Excellent condition 12/13 yrs old. Excellent  cooling. No dent. No scratch. Very well maintained.,2021-09-19T12:25:34+0000,"₹ 8,000",https://apollo-singapore.akamaized.net:443/v1/files/dbzsh5svycmh-IN/image,images/53.png
54,New ro water purifier on sell under warranty and extra filters free,2 years warranty on electronic parts 6 service free with installation and extra filters free with organisms,2021-09-19T12:21:32+0000,"₹ 3,499",https://apollo-singapore.akamaized.net:443/v1/files/ijr4klo9nmf92-IN/image,images/54.png
55,Lg 270 litre  freeze of 5 star Energy Rating,Lg 270 litre freeze of 5 star Energy Rating in energy saver  in good condition. Reason of selling - Need a larger freeze,2021-09-19T10:50:34+0000,"₹ 18,000",https://apollo-singapore.akamaized.net:443/v1/files/38h1ga198t6l-IN/image,images/55.png
56,Cake display fridge,It is good condition,2021-09-19T10:38:18+0000,"₹ 32,000",https://apollo-singapore.akamaized.net:443/v1/files/hbzcqo6pc9kd2-IN/image,images/56.png
57,Samsung fridge,"405 liter's ,  double door, 20% less, good condition",2021-09-19T10:03:16+0000,"₹ 16,000",https://apollo-singapore.akamaized.net:443/v1/files/fws83hz6skob1-IN/image,images/57.png
58,Lg refrigerator,Lg refgerator brand new condition super cooling,2021-09-19T08:42:32+0000,"₹ 10,000",https://apollo-singapore.akamaized.net:443/v1/files/57146qxz4wmt3-IN/image,images/58.png
59,Samsung refrigerator,Samsung refrigerator 321 ltr brand new condition 6 years old,2021-09-19T08:38:16+0000,"₹ 17,000",https://apollo-singapore.akamaized.net:443/v1/files/mq2zxxyof4nx-IN/image,images/59.png
60,Brand new haier's fridge 53 litres,Brand new product,2021-09-19T07:30:43+0000,"₹ 8,000",https://apollo-singapore.akamaized.net:443/v1/files/vklfnp2fmgl93-IN/image,images/60.png
61,400 ltr BLUE STAR,Blue Star 400 ltr deep friger one year old sell 22000 rs only 2 year campressor warranty,2021-09-19T06:18:04+0000,"₹ 22,000",https://apollo-singapore.akamaized.net:443/v1/files/ck6tz1kbbek31-IN/image,images/61.png
62,DD free dish lagwaye only 1250 me,Lockdown me DD free dish lagwaye only 1250 me or dekhe 150 Chanal Bina recharge ke lagwaye Delhi me kahi bhi Jese Avantika Budh vihar Vijay vihar all sectors Rohini mangolpur Puri Sultanpuri Nangloi peeragadi Punjabi bag utam Nagar Delhi me kahi bhi lagwane ke liye call kare OLX profile image contect nomber par ya fir justdil se nomber le,2021-09-19T06:13:21+0000,"₹ 1,250",https://apollo-singapore.akamaized.net:443/v1/files/c195k78bch25-IN/image,images/62.png
63,[ FREE WALL STAND] COD [ 1 GB RAM ] 2 HDMI PORT [ YOUTUBE+SCREEN CAST,Contact no. please check listing images  call me now for best offers  New imported Panel Led aTv's  All Types Size Led Tv Available  32'' Smart android frameless Rs. 11999  43'' Smart android frameless Rs. 17999  50'' Smart android frameless Rs. 26999  1 year warranty  Home Delivery Available  Same Day Delivery  Cash On Delivery available  Shipping Charge EXTRA,2021-09-19T05:17:53+0000,"₹ 9,999",https://apollo-singapore.akamaized.net:443/v1/files/hwv82l7hka75-IN/image,images/63.png
64,Samsung refrigerator,220 lt Direct cool,2021-09-19T04:46:39+0000,"₹ 7,000",https://apollo-singapore.akamaized.net:443/v1/files/4hqpl2obcuhd-IN/image,images/64.png
65,Olexo inline skates blue clour free size,Olexo inline skates blue clour no problem new condition,2021-09-19T02:50:26+0000,"₹ 2,000",https://apollo-singapore.akamaized.net:443/v1/files/bw9vel25an5h2-IN/image,images/65.png
66,Commercial fridge,Commercial fridge for shops with glass door,2021-09-19T00:08:30+0000,"₹ 18,000",https://apollo-singapore.akamaized.net:443/v1/files/8kvjk9fz2bs21-IN/image,images/66.png
67,lg fridge double door 350 litr 3 years old only,my selling reason because am going to banglore shift so plz fake person dont time waste plz agr kisi ko chahiye to boht hi brand new condition hai cooling boht hi osm hai one time bhi repair nhi hua hai plz sir jisko chahiye plz wohi comments krre thanku,2021-09-18T18:18:31+0000,"₹ 10,000",https://apollo-singapore.akamaized.net:443/v1/files/34pit2ilc52l3-IN/image,images/67.png
68,Samsung fridge single door 1y old,Samsung fridge single door 1y old,2021-09-18T18:00:15+0000,"₹ 9,500",https://apollo-singapore.akamaized.net:443/v1/files/8nwufwi6to072-IN/image,images/68.png
69,Softy Ice cream machine,Softy ice cream machine model no AMK25C,2021-09-18T17:08:45+0000,"₹ 95,000",https://apollo-singapore.akamaized.net:443/v1/files/h84cfhl2mz3u1-IN/image,images/69.png
