,title,description,date,price,img,path
31,"Electronic door lock installation available suitable for home,office",electronic door lock with 5 manual keys with fitting 1 year warranty* call fast...other parts n service required that will cost extra..(,2021-09-16T04:37:29+0000,"₹ 3,000",https://apollo-singapore.akamaized.net:443/v1/files/fthqpxnz7fve1-IN/image,images/31.png
32,Central lock electronic door lock for security installation available,"Central locking electronic door lock security purpose for home, office,factory, can be fitted in wooden door,iron door,steel door, etc with installation rate 3000 for upto 1st floorwith fitting with welding five manual keys 1 year warranty other parts cost extra can we attach audio system and video system remote system Wi-Fi system etc call for installation on urgent basis.",2021-09-15T15:57:47+0000,"₹ 2,999",https://apollo-singapore.akamaized.net:443/v1/files/twbz42ibr7yx2-IN/image,images/32.png
33,CCTV camera installation available brand new setup call fast,"Hikvision DS-7A04HGHI- 4CH Turbo HD 1080 P DVR 1Pcs  Hikvision DS-2CE5AC0T-IRP/ECO 2MP Turbo HD Night Vision Dome Cameras 2Pcs, Hikvision DS-2CE1AC0T-IRP/ECO 2MP Turbo HD Night Vision Bullet Cameras 2Pcs  90Mtr 3+1 CCTV Copper Cable 1Bundle, 4CH CCTV Power Supply, BNC 8Pcs, DC 4Pcs.500 GB Hard Disk. Installation is not included  2 Year COMPANY Warranty of Camera & DVR. 1 Year Seller Warranty of 500GB HARD DISK, Power Supply. (BNC, DC, Adapter, Mouse, Cable, Physical Damage & Burning are not covering in Warranty)  gst extra   # 4 ch dvr hikvision  #4 cameras hikvision 1 mp  #4 ch power supply  # cable 3+1 roll 90 mtr  #500 gb hard disk for storage  # bnc and dc connectors as require  #mobile view  #01 year warrenty  # note installation extra  we deals in cctv camera ,  door lock, audio  door phone, video door phone etc",2021-09-15T15:56:44+0000,"₹ 9,500",https://apollo-singapore.akamaized.net:443/v1/files/9ns311qwnasx-IN/image,images/33.png
34,Wifi cctv camera price is fix only serious customer call,"home delivery & installation available Description  V380 WIFI Camera with REMOTE MONITORING by Mobile app AND 2 Way TALK with Video Recording using memory card:  2 Way Audio Intercom + voice message + Wide Angle View + Motion Detection Alarm + Real-time monitoring+Night Vision  Megapixel IP Wifi Camera with Stunning Picture Quality, V380 Mobile App. APP is free life time  Dual-way Live Video call and Intercom , Make communication more smoothly  High Video Compression : 64GB Memory Card (not included) give recording a month  Strong Magnet at base, so that can be fixed to any metal object easily.  Best Suitable for 20 x 20 Feet Room/Shop/Office/ for live monitoring of maid, Baby, Servant etc.  History Playback , Know all day movement any time from Mobile app only , no need to remove memory card.  Low Internet data consumption  Watch Live home from office using mobile app.  Motion Sensor gives alarm and recording both features. Can be used as WiFi Door Bell also .  Specification :  Color: White  Positioning: Wall Mount Or Ceiling Mount 360Degree Movement  Memory Card Supported up to 64GB  Can be Connected to Any Mobile Power Bank so that use it without electricity .  5V 2A USB Power Camera comes with Adaptor and USB Cable.  With Inbuilt Mic and Speaker for Communication with Mobile app  Use it as WiFi Door Bell . And Talk to Visitor Using you mobile App.   Compatible Devices: Up to Android 2.3 and IOS 6.0 devices   Package Includes :  1x V380 Smart Camera  1x USB Cable  1x User",2021-09-15T15:56:06+0000,"₹ 1,200",https://apollo-singapore.akamaized.net:443/v1/files/am4sahryer0c1-IN/image,images/34.png
35,Cctv cameras sales installation and service,All types of cctv cameras are now available for reasonable prices on-site warranty,2021-09-15T12:48:12+0000,"₹ 10,999",https://apollo-singapore.akamaized.net:443/v1/files/pvhbxp8awsxy-IN/image,images/35.png
36,Hii i want to sale my projector,Hii i want to sale my Brand New MINI WIFI PROJECTOR,2021-09-15T09:33:48+0000,"₹ 5,000",https://apollo-singapore.akamaized.net:443/v1/files/fvldg9s0nnbi1-IN/image,images/36.png
37,Canon 5d mark 3 condition new h koi screch nhi h leminate kra hua,Cono mark 3 condition new h koi screch nhi h leminate kra hua use b bhot kam hua h camra k sath box h bill nhi h 1 btry or chargar h pahle pura pad le free me gyan na de,2021-09-15T07:16:32+0000,"₹ 1,00,000",https://apollo-singapore.akamaized.net:443/v1/files/0s2xzw2jhv2f1-IN/image,images/37.png
38,Modal PL_ E10  860mAh battery,New battery,2021-09-15T03:31:45+0000,"₹ 1,000",https://apollo-singapore.akamaized.net:443/v1/files/niqjdbi0ec0i2-IN/image,images/38.png
39,DJI Osmo - brand new condition,"Original DJI Osmo- 1 year old, with 32gb sandisk extreme card, complete box, package and mobile holder",2021-09-14T22:39:21+0000,"₹ 12,000",https://apollo-singapore.akamaized.net:443/v1/files/h0jdwjvublpe3-IN/image,images/39.png
40,GO Pro original pole,GO pro original pole stick,2021-09-14T16:52:32+0000,"₹ 4,000",https://apollo-singapore.akamaized.net:443/v1/files/nn6cdao4pdc21-IN/image,images/40.png
41,"OnePlus Nord 2, 6+12gb variant with 50 MP IMX Sony lens triple camera","50mp IMX 766 with OIS rear camera, 8MP ultrawide+ 2 MO mono camera with triple camera set-up & 32MP front camera. Latest gaming processer of Mediatek dimensity 1200 AI, 4500 mAh with 65 watt warp charger, 6.4 fluid Amoled display with 90 Hz refresh rate, dual stereo speakers with high quality bass boost, fastest in display finger print scanner, NFC support, dual 5g with IP rating certification. It has everything like original bill, box & charger.",2021-09-14T14:42:57+0000,"₹ 26,999",https://apollo-singapore.akamaized.net:443/v1/files/ac5yqk2f0den2-IN/image,images/41.png
42,IR MINI Bullet NETWORK camera,Water proof Night mode Automatic sleep mode,2021-09-14T14:39:05+0000,"₹ 4,000",https://apollo-singapore.akamaized.net:443/v1/files/w4jiuv42rdtc3-IN/image,images/42.png
43,Sigma 24mm f1.4 art series sony e-mount,1 year rarely used. Mint condition.,2021-09-14T11:23:14+0000,"₹ 48,000",https://apollo-singapore.akamaized.net:443/v1/files/yhfl5ibqpjrc1-IN/image,images/43.png
44,"electronic door lock with 2 remote without wire, installation freem","electronic door lock (centre locking) for home,office,factory etc. complete setup available lock with 5 manual keys,2 remote keys lock with welding charges and fitting  included deals in cctv n door lock",2021-09-14T09:57:37+0000,"₹ 3,999",https://apollo-singapore.akamaized.net:443/v1/files/8gdaqrud2lt7-IN/image,images/44.png
45,samsung galaxy M30s 128gb/6gbram triple camera,"Everything is superb with all bill, charger, box",2021-09-19T15:12:22+0000,"₹ 14,000",https://apollo-singapore.akamaized.net:443/v1/files/po2eojzq7t6p1-IN/image,images/45.png
46,Go pro hero 9 BLACK,"New gopro with only 5 hours of use. I am selling it because it was a gift and I have no use for it. I will use the money to buy something I can use. I have billing details, warranty and proof of purchase.",2021-09-19T14:18:09+0000,"₹ 40,000",https://apollo-singapore.akamaized.net:443/v1/files/wi7f687a89ef2-IN/image,images/46.png
47,24  non smart Sony panel LED TV,All size available 24 to 55 inch  Visit have free live demo  One year warranty two months replacement with bill  HD Quality  HDMI port  Full screen TV  USB cable.   Flat screen TV     Bank account transfer Credit debit card accepted  7 days open      Kashish enterprise,2021-09-19T11:52:55+0000,"₹ 7,200",https://apollo-singapore.akamaized.net:443/v1/files/27wbvw9qx54t-IN/image,images/47.png
48,DSLR Gimbel,This is manual Gimbel  intrested buyuers msg me,2021-09-19T10:23:53+0000,"₹ 3,000",https://apollo-singapore.akamaized.net:443/v1/files/i89x5khodfks-IN/image,images/48.png
49,canon 1200d with 18-55mm,very less use like new & new bag new camera strip new charger  new like new deal achi h dekh kr btana kya cheez h or lens or body ki cap bhi h saath me or lens ki bhi dono cap,2021-09-19T09:58:51+0000,"₹ 19,000",https://apollo-singapore.akamaized.net:443/v1/files/mzmtyi1geqt42-IN/image,images/49.png
50,Ektachrome flims,"Ektachrome is a brand name owned by Kodak for a range of transparency, still, and motion picture films previously available in many formats, including 35 mm and sheet sizes to 11 × 14 inch size.",2021-09-19T09:45:44+0000,"₹ 5,000",https://apollo-singapore.akamaized.net:443/v1/files/73mmixr54u511-IN/image,images/50.png
51,Baby cycle,Baby cycle like new,2021-09-19T07:23:40+0000,"₹ 1,200",https://apollo-singapore.akamaized.net:443/v1/files/e6040r2q6gvr-IN/image,images/51.png
52,Nikon coolpix p500,Good condition with charger and bag and 36x wide optical zoom ED VR no bill,2021-09-19T06:40:58+0000,"₹ 9,000",https://apollo-singapore.akamaized.net:443/v1/files/ohx7lfsk3n7a3-IN/image,images/52.png
53,Canon EOS 700D with Extra Lens,Mint Condition 10/10 With Bill and Brand Box Extra Lens that too of Canon In warranty till Aug 2022 Used Occasionally,2021-09-19T06:01:18+0000,"₹ 32,000",https://apollo-singapore.akamaized.net:443/v1/files/7frys9hbxx8n-IN/image,images/53.png
54,Melodica 37 key,Melodica 37 key,2021-09-19T05:40:25+0000,"₹ 1,499",https://apollo-singapore.akamaized.net:443/v1/files/tthisbz0prbp1-IN/image,images/54.png
55,6d 24*105 lence,Batter Running camera not any uses foe me,2021-09-19T05:03:47+0000,"₹ 65,000",https://apollo-singapore.akamaized.net:443/v1/files/mtb52li3vrkw-IN/image,images/55.png
56,CPPLUS CCTV CAMERA,"Cctv Installation Services  Cpplus 4 Cctv Camera Setup Description:- 2 Indoor Camera  2 Outdoor Camera  1 Dvr 4-Channel  1 Power Supply 4-Channel 1 Bundle Cctv Camera Wire All required Material   Why Cctv Camera? Home security is the most important concern for families these days. Thankfully, technology is here to save you from your security concern. There are a ton of great home surveillance cameras out there, that can be a great companion to keep your home and family safe. Home security cameras are unblinking eyes that can remember everything they see, you can also use them to keep tab on your kids when they’re home alone, your pets while you’re at work and they also keep your home safe from thieves.",2021-09-18T18:21:46+0000,"₹ 9,999",https://apollo-singapore.akamaized.net:443/v1/files/dtgtbf2avcrd3-IN/image,images/56.png
57,Ring light 10 inch,Ring light 10 inch.,2021-09-18T16:36:59+0000,₹ 350,https://apollo-singapore.akamaized.net:443/v1/files/dniy63yulgsq3-IN/image,images/57.png
58,Best camera,Oppo A5s mobile 1 year old,2021-09-18T15:47:49+0000,"₹ 6,000",https://apollo-singapore.akamaized.net:443/v1/files/rpqt3tfxtdih2-IN/image,images/58.png
59,Sony camera,Sony ka camera h display change krwani hogi baki sab thik h,2021-09-18T14:57:27+0000,"₹ 4,000",https://apollo-singapore.akamaized.net:443/v1/files/4t8s2ircn0oz-IN/image,images/59.png
60,Camera 6D mark 2 good connection.9 month old.,Lens. 24 105. Battery. 2. Charger.1. Box and bill. 9 month old.,2021-09-18T11:31:07+0000,"₹ 1,40,000",https://apollo-singapore.akamaized.net:443/v1/files/bjmm737bownm-IN/image,images/60.png
61,Budh vihar,L ed mirror,2021-09-18T11:04:12+0000,"₹ 2,500",https://apollo-singapore.akamaized.net:443/v1/files/n10zj6gbwzeq2-IN/image,images/61.png
62,sony cybershot w810,sony cybershot camera with all accessories. with original battery and 8 gb memory card of sony only 1.5 years old.. its like brand new with original box and cover and with original charger,2021-09-18T08:52:59+0000,"₹ 3,400",https://apollo-singapore.akamaized.net:443/v1/files/95mwubti72h82-IN/image,images/62.png
63,Track lights,Track lights for sale 6pc 30 watt each. With 2 nos of track.,2021-09-17T17:55:17+0000,"₹ 3,900",https://apollo-singapore.akamaized.net:443/v1/files/hdr6qa4bjkya2-IN/image,images/63.png
64,DJI OSMO 4K gimbal mint condition,"Selling my old rarely used dji osmo 4K gimbal, interested buyers can contact. Reason for selling: haven't used since long.",2021-09-17T17:47:08+0000,"₹ 11,000",https://apollo-singapore.akamaized.net:443/v1/files/spamv2nk5hcc-IN/image,images/64.png
65,Canon EOS 60D - DSLR Camera (Mint Condition),Canon DSLR is up for sale.  》Model : Canon EOS 60D (EF-S 18-55 IS ll) 》Items Included :     • 60D body    • 18-55mm lens    • LP-E6 Battery    • LC-E6E Charger    • 4GB Memory Card    • USB Cable    • Original Box    • Camera Bag    • Neck Shoulder Strap 》Unedited pictures are attached. I am happy to provide more pictures if requested.  Happy Bidding !!,2021-09-11T12:44:58+0000,"₹ 27,700",https://apollo-singapore.akamaized.net:443/v1/files/wgl8cc5z1fqo3-IN/image,images/65.png
66,Telescope for sale,Telescope CELESTRON with two three lens,2021-09-11T11:35:11+0000,"₹ 1,500",https://apollo-singapore.akamaized.net:443/v1/files/pwposgut9zpq3-IN/image,images/66.png
