,Unnamed: 0,PRODUCT NAME,PRODUCT PRICE,PRODUCT RATING,URL,brand,pixels
46,46,canon ixus 185 20mp digital camera with 8x optical zoom (black),8395,3.8,https://m.media-amazon.com/images/I/31GT6rKayoL._AC_UY218_.jpg,canon,20.0
47,47,ijja np-bg1 rechargeable litium-ion camera battery pack compatible with sony camera battery charger,799,4.4,https://m.media-amazon.com/images/I/31RamGuXemL._AC_UY218_.jpg,ijja,
48,48,"mixcart kids digital camera, 2 inch 1080 hd screen mini children camera(blue) - jicson j67",999,3.8,https://m.media-amazon.com/images/I/41BjuazkfeL._AC_UY218_.jpg,mixcart,
49,49,sony cybershot dsc-hx400v 20.4mp digital camera (black) with free bag,28999,2.8,https://m.media-amazon.com/images/I/71lmoEguiAL._AC_UY218_.jpg,sony,4.0
50,50,wifi full hd spy ip camera hidden wireless cctv security with microphone cloud based storage night vision motion detection two way communication supports sd card for home & car (black),1199,3.8,https://m.media-amazon.com/images/I/61FQyKvq4SL._AC_UY218_.jpg,wifi,
51,51,ruily® kids camcorder 5mp 2.4 tft screen for kids camera (pink),2299,3.8,https://m.media-amazon.com/images/I/31IjgRkapvL._AC_UY218_.jpg,ruily®,5.0
52,52,"mixen astronomical telescope with high light transmittance and high magnification, equipped with star finder, outdoor education, corrective mirror",4499,4.3,https://m.media-amazon.com/images/I/71EV5Y+XuxL._AC_UY218_.jpg,mixen,
53,53,m & v solutions® wearable wireless small security camera with digital voice recorder portable mini body camera device with 32gb memory card with battery backup of 480 minutes on single charge,3399,4.2,https://m.media-amazon.com/images/I/41eynyWxPQS._AC_UY218_.jpg,m&vsolutions®,
54,54,canon powershot sx540hs 20.3mp digital camera with 50x optical zoom (black),22999,4.2,https://m.media-amazon.com/images/I/71Xp-K4MMBL._AC_UY218_.jpg,canon,3.0
55,55,smartcam®️ digital spy camera ajanta wall clock hidden with motion detection & sd card inbuilt 32gb full hd mini spy camera for home,8999,3.7,https://m.media-amazon.com/images/I/41fT8Y4-DtL._AC_UY218_.jpg,smartcam®️,
56,56,ijja np-bn1camera charger compatible with sony camera battery,499,3.8,https://m.media-amazon.com/images/I/31ELlSfR1LL._AC_UY218_.jpg,ijja,
57,57,ruily® kids camcorder 5mp 2.4 tft screen for kids camera (pink),2299,3.8,https://m.media-amazon.com/images/I/31IjgRkapvL._AC_UY218_.jpg,ruily®,5.0
58,58,popetpop magnification digital microscope camera 1600x kids experiment microscope with stand high definition precious stone test (black),171359,4.1,https://m.media-amazon.com/images/I/51nz41K2eSL._AC_UY218_.jpg,popetpop,
59,59,"boltove® 5 in 1 care and lens cleaning kit for nikon canon sony all digital & film camera lenses,binocluars, lcd screens",339,3.1,https://m.media-amazon.com/images/I/31jBI4vmGVL._AC_UY218_.jpg,boltove®,
60,60,"digicare battery charger mh-24 for nikon enel 14 battery,d3100,d3200,d5100,d5200,p7700,dslr cameras",620,6.1,https://m.media-amazon.com/images/I/61G117af5OS._AC_UY218_.jpg,digicare,
61,61,"godrej hd 4mp security camera kit, white",14715,4.0,https://m.media-amazon.com/images/I/41X17vFJncL._AC_UY218_.jpg,godrej,4.0
62,62,"godrej security solutions wired 1080p hd 2mp security camera kit, white",10399,4.9,https://m.media-amazon.com/images/I/51BMUQ8vNmL._AC_UY218_.jpg,godrej,2.0
63,63,"sony digital vlog camera zv 1 (compact, video eye af, flip screen, in-built microphone, bluetooth shooting grip, 4k vlogging camera and content creation) - black",70990,2.7,https://m.media-amazon.com/images/I/716sQB1HdPL._AC_UY218_.jpg,sony,
64,64,"sony alpha ilce-7c compact full frame camera (4k, flip screen, light weight, real time tracking, content creation) - black",151990,4.0,https://m.media-amazon.com/images/I/71x4V5wzCZL._AC_UY218_.jpg,sony,
65,65,canon ixus-285 hs 20.2mp point and shoot camera with 12x optical zoom(silver),15199,4.2,https://m.media-amazon.com/images/I/91o+OKWqTcL._AC_UY218_.jpg,canon,2.0
66,66,camera battery comfitable for sony np-bn1 cybershot dsc-w710 dsc-w730 dsc-w810 dsc-w830sony dsc-w530 dsc-w650 dsc-tx9 digital camera,999,4.8,https://m.media-amazon.com/images/I/21Uapg8J7tL._AC_UY218_.jpg,camera,
67,67,spe digital slr dslr camera rain cover-medium size,373,5.4,https://m.media-amazon.com/images/I/411OvejK7KL._AC_UY218_.jpg,spe,
68,68,"vuffuw 8mp hd video digital sports camera , mini 2 inch screen recorder camcorder with soft cover(pink)",1520,4.2,https://m.media-amazon.com/images/I/51BkrUCMHxL._AC_UY218_.jpg,vuffuw,8.0
69,69,"homgeel cold shoe mount adapter base bracket with 1/4"" mounting screw for dslr camera cage flash led light microphone (pack of 1)",799,5.0,https://m.media-amazon.com/images/I/51pxam8XYzL._AC_UY218_.jpg,homgeel,
70,70,"technoview wireless wifi mini camera digital table clock with full hd 1080p, low light vision, motion detection for home office room security cam live streaming via hdwificam pro app",3499,3.3,https://m.media-amazon.com/images/I/51u9fz6Sj+L._AC_UY218_.jpg,technoview,
71,71,"pranay digital camera, recorder camera 800w hd 2.0 inch screen video front camera child camera for kids (blue)",949,4.5,https://m.media-amazon.com/images/I/51E2ZZHXw0L._AC_UY218_.jpg,pranay,
72,72,m s tech button small camera hd audio and video recorder mini cam in button shape dvr small portable button camera with sd card slot up to 32gb support secret cam,890,2.9,https://m.media-amazon.com/images/I/41kwB+uiz3L._AC_UY218_.jpg,mstech,
73,73,"mixen astronomical telescope with high light transmittance and high magnification, equipped with star finder, outdoor education, corrective mirror",4499,3.9,https://m.media-amazon.com/images/I/71EV5Y+XuxL._AC_UY218_.jpg,mixen,
74,74,"ruily® kids camcorder 5mp 2.4"" tft screen for kids camera (blue)",2299,3.9,https://m.media-amazon.com/images/I/31SuaPs62sL._AC_UY218_.jpg,ruily®,5.0
75,75,digiom® leather adjustable soft hand grip wrist strap of dslr camera strap (black),299,3.4,https://m.media-amazon.com/images/I/51Am7244NnL._AC_UY218_.jpg,digiom®,
76,76,electomania® leather adjustable hand grip wrist strap of dslr camera,288,3.8,https://m.media-amazon.com/images/I/51Z56mealcL._AC_UY218_.jpg,electomania®,
77,77,technoview spy camera wrist band hidden portable camera with video and audio hidden 1080p camera sport wrist band hd dvr bracelet portable video recorder - wrist band,2180,5.4,https://m.media-amazon.com/images/I/31maz9hbPoL._AC_UY218_.jpg,technoview,
78,78,"technoview 1080p full hd motion detection, remote live viewing on mobile app android/ios spy wifi digital ajanta wall clock hidden cameras for home/office security, black",7500,2.7,https://m.media-amazon.com/images/I/61UvXLjFI1L._AC_UY218_.jpg,technoview,
79,79,komcnc big 10 inches led ring light with tripod stand with 7 feet stand for camera smartphone,749,2.2,https://m.media-amazon.com/images/I/61zOhK-vubL._AC_UY218_.jpg,komcnc,
80,80,sr vision v380 pro hd 1080p night vision wireless wifi ip camera with 2 way audio and upto 64 gb sd card support,1349,4.6,https://m.media-amazon.com/images/I/51TF4fzzd7S._AC_UY218_.jpg,sr,
81,81,"vezol digital camera, recorder camera 800w hd 2.0 inch screen video front camera child camera (blue) - bb16 (pink)",929,4.1,https://m.media-amazon.com/images/I/314nT9u+1bL._AC_UY218_.jpg,vezol,
82,82,"1/4"" camera screw for connecting dslr/ mirrorless to strap or harness (pack of four)",599,4.5,https://m.media-amazon.com/images/I/41d2NiykZrL._AC_UY218_.jpg,,
83,83,"godrej hd 4mp security camera kit, white",14715,3.0,https://m.media-amazon.com/images/I/41X17vFJncL._AC_UY218_.jpg,godrej,4.0
84,84,"godrej security solutions wired 1080p hd 2mp security camera kit, white",10399,3.9,https://m.media-amazon.com/images/I/51BMUQ8vNmL._AC_UY218_.jpg,godrej,2.0
85,85,"sony digital vlog camera zv 1 (compact, video eye af, flip screen, in-built microphone, bluetooth shooting grip, 4k vlogging camera and content creation) - black",70990,2.9,https://m.media-amazon.com/images/I/716sQB1HdPL._AC_UY218_.jpg,sony,
86,86,"sony alpha ilce-7c compact full frame camera (4k, flip screen, light weight, real time tracking, content creation) - black",151990,3.7,https://m.media-amazon.com/images/I/71x4V5wzCZL._AC_UY218_.jpg,sony,
87,87,fujifilm instax mini liplay hybrid instant camera (elegant black),11400,4.3,https://m.media-amazon.com/images/I/91bZ5rldgUL._AC_UY218_.jpg,fujifilm,
88,88,fur jaden anti theft camera bag for dslr slr lens accessories waterproof bag case with shock proof cushioning,899,5.4,https://m.media-amazon.com/images/I/91LTSW+gsHS._AC_UY218_.jpg,fur,
89,89,"sony dsc w830 cyber-shot 20.1 mp point and shoot camera (black) with 8x optical zoom + sandisk 128gb ultra sdxc uhs-i memory card - 100mb/s, c10, u1, full hd, sd card",13419,3.8,https://m.media-amazon.com/images/I/81F5CAfjNyL._AC_UY218_.jpg,sony,
90,90,"hoji photo mini tripod for camera w/pistol grip, portable small tripod for dslr & mirrorless cameras, mini tripod stand w/anti slip feet, works as desktop tripod, vlog tripod, table tripod",299,3.6,https://m.media-amazon.com/images/I/41sNK4P7maL._AC_UY218_.jpg,hoji,
91,91,"welborn nb8l rechargeable battery pack compatible with canon digital ixus | power shot a2200, a3000is, a3100is, a3200is, a3300is | canon camera battery",649,4.1,https://m.media-amazon.com/images/I/31SVQ9mgjTL._AC_UY218_.jpg,welborn,
92,92,bluelex® 5.5mm waterproof v8 usb endoscope inspection digital camera with 2m cable for android phone,1090,3.6,https://m.media-amazon.com/images/I/516oOZNvaWL._AC_UY218_.jpg,bluelex®,
93,93,"glampanda phone tripod stand with 2 in 1 clip for video recording/live streaming/vlogging, flexible 360 rotation ball head, sturdy stand for dslr and digital cameras with universal mobile phone holder",345,4.3,https://m.media-amazon.com/images/I/41a4aslh52L._AC_UY218_.jpg,glampanda,
94,94,darahs fox micro mini-usb 5-pin usb cable for canon eos rebel digital slr camera and canon eos digital slr camera -sony -nikon uc-e4 digital camera dslr (colour may very),399,3.9,https://m.media-amazon.com/images/I/61FYIQS2nUL._AC_UY218_.jpg,darahs,
95,95,"mixen astronomical telescope with high light transmittance and high magnification, equipped with star finder, outdoor education, corrective mirror",4499,3.9,https://m.media-amazon.com/images/I/71EV5Y+XuxL._AC_UY218_.jpg,mixen,
96,96,"ruily® kids camcorder 5mp 2.4"" tft screen for kids camera (blue)",2299,3.9,https://m.media-amazon.com/images/I/31SuaPs62sL._AC_UY218_.jpg,ruily®,5.0
97,97,lucrane 3110 mobile and camera tripod - universal portable & foldable professional slr dslr camera stand for photography and videography tripod,349,4.4,https://m.media-amazon.com/images/I/41ILriEQ--L._AC_UY218_.jpg,lucrane,
98,98,"m s tech 1080p usb wireless wifi charger camera series 12 wifi – hd live streaming video camcorder with motion detection, pet nanny cam, usb ac wall plug adapter for phone, remote view, support 64gb sd card (not included) - dv380 app",2949,4.4,https://m.media-amazon.com/images/I/51bqir4XlzS._AC_UY218_.jpg,mstech,
99,99,spy cameras sq11 mini portable small size full hd 1080p video and audio recording camera features motion detection photo click video/audio recorder dvr,1150,3.8,https://m.media-amazon.com/images/I/31L6aytNy-S._AC_UY218_.jpg,spy,
100,100,"powerpak digital lcd universal charger for lithium-ion mobile phone, digital camera battery, dslr battery",399,5.1,https://m.media-amazon.com/images/I/41pUpT1fbRL._AC_UY218_.jpg,powerpak,
101,101,"ceuta universal 1/4"" swivel mini ball head screw tripod mount（1 pack）, 360 degree rotating mount base adapter for dslr cameras htc vive tripods monopods camcorder light stand",199,4.7,https://m.media-amazon.com/images/I/61OpXlkF-TL._AC_UY218_.jpg,ceuta,
102,102,"nirvani yt-228 mini ball head lightweight tripod with universal mobile holder clip tripod compatible with all mobile phones, dslr and action cameras (black)",129,3.6,https://m.media-amazon.com/images/I/31t-PMratLL._AC_UY218_.jpg,nirvani,
103,103,"swd gorilla tripod/mini tripod 12 inch for mobile phone with free holder for mobile, flexible gorilla stand for dslr & action cameras and other uses",299,3.5,https://m.media-amazon.com/images/I/51rvCndLgvL._AC_UY218_.jpg,swd,
104,104,"godrej hd 4mp security camera kit, white",14715,4.5,https://m.media-amazon.com/images/I/41X17vFJncL._AC_UY218_.jpg,godrej,4.0
105,105,"godrej security solutions wired 1080p hd 2mp security camera kit, white",10399,4.8,https://m.media-amazon.com/images/I/51BMUQ8vNmL._AC_UY218_.jpg,godrej,2.0
106,106,"sony digital vlog camera zv 1 (compact, video eye af, flip screen, in-built microphone, bluetooth shooting grip, 4k vlogging camera and content creation) - black",70990,4.6,https://m.media-amazon.com/images/I/716sQB1HdPL._AC_UY218_.jpg,sony,
107,107,"sony alpha ilce-7c compact full frame camera (4k, flip screen, light weight, real time tracking, content creation) - black",151990,3.3,https://m.media-amazon.com/images/I/71x4V5wzCZL._AC_UY218_.jpg,sony,
