,PRODUCT NAME,PRODUCT PRICE,PRODUCT RATING,URL,brand,star,capacity,doubledoor
68,"whirlpool 260 l frost-free multi-door refrigerator (fp 283d protton roy, german steel)",27780,,https://m.media-amazon.com/images/I/616TAyqifFL._AC_UY218_.jpg,whirlpool,,260.0,0
69,"whirlpool 300 l frost free multi-door refrigerator(fp 313d protton roy, alpha steel)",30980,4.2,https://m.media-amazon.com/images/I/71LhJyC3u9L._AC_UY218_.jpg,whirlpool,,300.0,0
70,"samsung 192 l 3 star inverter direct cool single door refrigerator (rr20a1y2yu8/hl, saffron blue)",14590,4.2,https://m.media-amazon.com/images/I/713dvJzGx9L._AC_UY218_.jpg,samsung,3.0,192.0,0
71,"samsung 192 l 3 star inverter direct cool single door refrigerator (rr20a1y2yr8/hl, saffron red)",14690,4.2,https://m.media-amazon.com/images/I/71DTP8M4enL._AC_UY218_.jpg,samsung,3.0,192.0,0
72,"whirlpool 190 l 4 star inverter direct-cool single door refrigerator (wde 205 roy 4s inv, wine radiance, base-stand with drawer)",15990,4.2,https://m.media-amazon.com/images/I/61zy+v0CC1L._AC_UY218_.jpg,whirlpool,4.0,190.0,0
73,"whirlpool 190 l 4 star inverter direct-cool single door refrigerator (wde 205 roy 4s inv, sapphire magnolia, base stand)",15990,4.2,https://m.media-amazon.com/images/I/51pTt1Xi4dS._AC_UY218_.jpg,whirlpool,4.0,190.0,0
74,"godrej 190 l 3 star inverter direct-cool single door refrigerator with jumbo vegetable tray (rd 1903 pti 33 dr bl, royal drenim, inverter compressor)",13890,4.1,https://m.media-amazon.com/images/I/71zd5Pq+0tL._AC_UY218_.jpg,godrej,3.0,190.0,0
75,"samsung 192 l 2 star direct cool single door refrigerator (rr19a2z2b6r/nl, mystic overlay red, base stand with drawer)",14890,,https://m.media-amazon.com/images/I/81nhFsPFlcL._AC_UY218_.jpg,samsung,2.0,192.0,0
76,"samsung 255 l 3 star inverter direct cool single door refrigerator(rr26t389yut/hl, pebble blue, base stand with drawer)",20390,4.2,https://m.media-amazon.com/images/I/71MgoYxgs1L._AC_UY218_.jpg,samsung,3.0,255.0,0
77,"godrej 236 l 2 star inverter frost-free double door refrigerator with jumbo vegetable tray (rf eon 236b 25 hi si st, stainless steel)",19280,4.0,https://m.media-amazon.com/images/I/61AAVzzYh5L._AC_UY218_.jpg,godrej,2.0,236.0,1
78,"panasonic 336 l 3 star 6-stage inverter frost-free double door refrigerator (nr-mbg34vss3, shining silver, jumbo vegetable basket)",30490,,https://m.media-amazon.com/images/I/71haKDFTB6L._AC_UY218_.jpg,panasonic,3.0,336.0,1
79,"whirlpool 215 l 5 star inverter direct-cool single door refrigerator (230 impro roy 5s inv sapphire abyss, sapphire abyss)",20240,,https://m.media-amazon.com/images/I/61mMrXzBmhL._AC_UY218_.jpg,whirlpool,5.0,215.0,0
80,"whirlpool 265 l 3 star inverter frost-free double door refrigerator (intellifresh inv cnv 278 3s, german steel, convertible)",27240,4.2,https://m.media-amazon.com/images/I/71uiII0RR3L._AC_UY218_.jpg,whirlpool,3.0,265.0,1
81,"haier 192 l 2star direct-cool single door refrigerator (hed-191tds, dazzel steel)",12390,4.1,https://m.media-amazon.com/images/I/71U6AT4LvgL._AC_UY218_.jpg,haier,2.0,192.0,0
82,"whirlpool 190 l 3 star single door refrigerator (wde 205 roy 3s, sapphire radiance, base stand)",14990,,https://m.media-amazon.com/images/I/5101--gGXHL._AC_UY218_.jpg,whirlpool,3.0,190.0,0
83,"whirlpool 190 l 4 star inverter direct-cool single door refrigerator (wde 205 prm 4s inv magnum steel, magnum steel)",14490,,https://m.media-amazon.com/images/I/518kXqvK6xL._AC_UY218_.jpg,whirlpool,4.0,190.0,0
84,"godrej 185 l 3 star direct-cool single door refrigerator (rd uno 1853 ptf aq wn, aqua wine, cool lock technology)",13890,4.1,https://m.media-amazon.com/images/I/61Ahocrel9S._AC_UY218_.jpg,godrej,3.0,185.0,0
