,PRODUCT NAME,PRODUCT PRICE,PRODUCT RATING,URL,brand,processor,ssd,hdd,ram,graphic_card
255,mi notebook pro qhd+ ips anti glare display intel core i5-11300h 11th gen 14-inch(35.56 cms) thin and light laptop (8gb/512gb ssd/iris xe graphics/win 10/backlit kb/fingerprint sensor/1.4 kg),56999,4.2,https://m.media-amazon.com/images/I/71iiXU7HHkL._AC_UY218_.jpg,Mi,intel i5,512.0,0.0,8,iris xe
256,"lenovo ideapad slim 5 amd ryzen 5 5500u 15.6"" (39.62cm) fhd ips thin & light laptop (8gb/512gb ssd/windows 10/ms office/backlit keyboard/fingerprint reader/graphite grey/1.66kg), 82ln00b4in",56930, ,https://m.media-amazon.com/images/I/71jP9Frsr6L._AC_UY218_.jpg,Lenovo,ryzen 5,512.0,0.0,8,intel integrated
257,dell vostro 3401 14 inch (35.5 cm) fhd display laptop (11th gen i3-1115g4 / 8gb / 1tb hdd / integrated graphics / win 10 + mso / accent black) d552175win9be,43726,3.8,https://m.media-amazon.com/images/I/8147cwFm2PL._AC_UY218_.jpg,Dell,intel i3,0.0,1024.0,8,intel integrated
258,"lenovo yoga 530 intel core i5 8th gen 14-inch full hd 2-in-1 touchscreen laptop (8gb ram/512gb ssd / 2gb nvidia graphics /windows 10 home / ms office h&s 2016 / mineral grey /1.67kg/active pen), 81ek00acin",89026, ,https://m.media-amazon.com/images/I/61jqRHpcgKL._AC_UY218_.jpg,Lenovo,intel i5,512.0,0.0,8,intel integrated
259,(renewed) dell latitude 15.4 inch (39.1 cm) laptop(intel core 2 duo/4 gb ram/1 tb/wifi/webcam/usb/windows 7/ms office/pan india warranty),24999, ,https://m.media-amazon.com/images/I/41Bic0gVwBL._AC_UY218_.jpg,(Renewed),others,0.0,0.0,4,intel integrated
260,"hp laptop 14"" (35.56cms) ryzen 5 3500u laptop, 8gb ram, 512gb ssd, fhd screen, windows 10, ms office, natural silver , 14s-fq0526au",48990, ,https://m.media-amazon.com/images/I/41645YiVx2L._AC_UY218_.jpg,HP,ryzen 5,512.0,0.0,8,
261,"asus vivobook ultra k14 intel core i3-1115g4 14-inch fhd ips thin&light laptop(8gb ram/512gb nvme ssd/win. 10/msoffice h&s 2019/1 yr.mcafee/intel uhd graphics/black/1 yr./1.4 kg),k413ea-eb302ts",48990, ,https://m.media-amazon.com/images/I/51WwNa5Y94L._AC_UY218_.jpg,ASUS,intel i3,512.0,0.0,8,intel integrated
262,"lenovo v15 intel core i3 11th gen 15.6"" (39.62 cm) fhd thin and light laptop (4gb ram/256gb ssd/windows 10/ms office/iron grey/3 year onsite warranty/1.7 kg), 82kb00m0ih",42990, ,https://m.media-amazon.com/images/I/41WB-YUC3kL._AC_UY218_.jpg,Lenovo,intel i3,256.0,0.0,4,intel integrated
263,"(renewed) lenovo thinkpad hybrid laptop t450s (slim) intel core i7 - 5600u processor, 4 gb ram, 320 gb harddisk & 256 gb ssd, windows 10 pro, 14.1 inches notebook computer",38290, ,https://m.media-amazon.com/images/I/6172BVoWyHL._AC_UY218_.jpg,(Renewed),intel i7,256.0,0.0,4,intel integrated
264,"dell inspiron 5584 15.6"" (39.62cms) laptop (8th gen core i5-8265u/8gb/1tb hdd + 512gb ssd/windows 10 home/2gb nvidia graphics), silver",64500,3.8,https://m.media-amazon.com/images/I/418NWVICZgL._AC_UY218_.jpg,DELL,intel i5,512.0,1024.0,8,
265,"dell 14 (2021) i5-1135g7 2in1 touch screen laptop, 16gb ram, 512gb ssd, 14” (35.56 cms) fhd display, win 10 + mso, backlit kb + fpr + active pen, silver metal color (inspiron 5410, d560477win9s)",79990,4.1,https://m.media-amazon.com/images/I/61E8IwFfGrS._AC_UY218_.jpg,Dell,intel i5,512.0,0.0,16,
266,"dell 15 (2021) i3-1005g1 laptop, 8gb, 1tb hdd, win 10 + ms office, integrated graphics, 15.6"" (39.61 cms) fhd display, carbon color (inspiron 3511, d560612win9be)",55534, ,https://m.media-amazon.com/images/I/71Kk0l98lbL._AC_UY218_.jpg,Dell,intel i3,0.0,1024.0,8,intel integrated
267,"hp 14 ryzen 5 3500u 14-inch(35.6 cm) fhd thin & light laptop(8gb ram/256gb ssd + 1tb hd/windows 10/ms office/natural silver/1.47 kg), 14s-dk0501au",47990, ,https://m.media-amazon.com/images/I/81w4VMSLLzL._AC_UY218_.jpg,HP,ryzen 5,256.0,0.0,8,intel integrated
268,"hp envy x360 ryzen 5 4500u 13.3-inch (33.78 cms) convertible touchscreen fhd laptop (8gb/512gb ssd/windows 11 home/ms office/night fall black/1.32kg), 13-ay0045au",78999, ,https://m.media-amazon.com/images/I/61nTgrUV+jL._AC_UY218_.jpg,HP,ryzen 5,512.0,0.0,8,rtx 3060
269,"lenovo ideapad slim 5 pro 11th gen intel core i5 14"" (35.56cm) 2.2k ips 300nits thin & light laptop (16gb/512gb ssd/windows 10/ms office/backlit keyboard/100% srgb/storm grey/1.38kg), 82l3009lin",74333,4.0,https://m.media-amazon.com/images/I/71N-Szn90bL._AC_UY218_.jpg,Lenovo,intel i5,512.0,0.0,8,intel integrated
270,"hp 250 g8 core i5 11th gen - (8 gb/1 tb hdd/windows 10) 250 g8 intel core i5 business laptop (15.6 inch, black grey, 1.78 kg)",54237, ,https://m.media-amazon.com/images/I/31tn0g4C1SS._AC_UY218_.jpg,HP,intel i5,0.0,1024.0,8,intel integrated
271,"asus vivobook 15 core i3 10th gen - (4 gb/1 tb hdd/windows 10 home) x515ja-br381t thin and light laptop (15.6 inch, slate grey, 1.80 kg)",34990, ,https://m.media-amazon.com/images/I/41E65wGENHS._AC_UY218_.jpg,ASUS,intel i3,0.0,1024.0,4,intel integrated
272,"lenovo thinkpad e15 intel core i3 11th gen 15.6-inch (39.62 cm) full hd thin and light laptop (4gb ram/256gb ssd/dos/fpr/black/1.7 kg), 20tds0rp00",49500, ,https://m.media-amazon.com/images/I/61YI9NujfFL._AC_UY218_.jpg,Lenovo,intel i3,256.0,0.0,4,intel integrated
273,"avita essential refresh ne14a2inc44a-mb 14-inch/35.56 cm(intel celeron-n4020/4gb/256gb ssd/windows 10 home/fhd/integrated graphics),matt black",29990, ,https://m.media-amazon.com/images/I/61YdFkoR9dL._AC_UY218_.jpg,AVITA,intel celeron,256.0,0.0,4,intel integrated
274,(renewed) hp intel 4th gen core i5 12.5-inch (31.75 cms) 1366 x 768 laptop(16gb ram/128gb ssd & 1tb hdd/windows 10 pro/ms office/ intel hd integrated graphics/ black/1.54kg) elitebook 820 g1,40999, ,https://m.media-amazon.com/images/I/61fKgzZRuVL._AC_UY218_.jpg,(Renewed),intel i5,128.0,1024.0,16,intel integrated
275,"lenovo ideapad slim 3 (2021)| 11th gen intel core i3 |14""fhd ips thin and light laptop|4side narrow bezel (8gb/512gb ssd/win10/office 2019/backlit kb/fingerprint reader/arctic grey/1.41kg), 82h700k7in",45990,4.1,https://m.media-amazon.com/images/I/61XJ6xrICAL._AC_UY218_.jpg,Lenovo,intel i3,512.0,0.0,8,intel integrated
276,"asus rog strix g17 (2021) 17.3-inch (43.94 cms) fhd 144hz, amd ryzen 7 4800h, gtx 1650 4gb graphics, gaming laptop (8gb/512gb ssd/windows 10/gray/2.4 kg), g713ih-hx020t",90942, ,https://m.media-amazon.com/images/I/81Vr3jzftaL._AC_UY218_.jpg,ASUS,ryzen 7,512.0,0.0,8,gtx1650
277,"asus rog strix g15 g512li-hn091t intel i5-10300h 15.6 inches notebook computer (8gb ram, 1t ssd, 15.6 fhd-144hz, gtx1650ti-4gb, rgb backlit, wifi6, windows 10, glacier blue, 2kg)",108900,4.2,https://m.media-amazon.com/images/I/71cr5hepigL._AC_UY218_.jpg,ASUS,intel i5,0.0,0.0,8,1000m
278,"hp spectre 13t x360 10th gen i7-1065g7, 1tb ssd, 16gb ram, win 10 pro, 13.3"" fhd touch, usb c, camera kill-switch, fingerprint, mic mute key, b&o speakers, hp pen, nightfall black",149000, ,https://m.media-amazon.com/images/I/51MCF93oMuL._AC_UY218_.jpg,HP,intel i7,1024.0,0.0,16,rtx 3060
279,"fujitsu uh-x 11th gen intel i7 core 13.3” (33.78cm) fhd ips 400nits thin and light laptop (16gb/512gb ssd/win10/office/iris xe graphics/backlit kb/ fingerprint reader/black/878gms), 4zr1d67596",92990, ,https://m.media-amazon.com/images/I/91MVVK14sEL._AC_UY218_.jpg,Fujitsu,intel i7,512.0,0.0,16,iris xe
280,"lenovo thinkpad e15 (2021) intel core i5 11th gen 15.6 inch(39.6 cm) fhd thin and light laptop (8gb ram/512gb ssd/windows 10/ms office/fingerprint reader/black/aluminium surface/ 1.7 kg), 20tds0ac00",72990,4.0,https://m.media-amazon.com/images/I/71TuueY7JDS._AC_UY218_.jpg,Lenovo,intel i5,512.0,0.0,8,intel integrated
281,"lenovo thinkpad e15 (2021) intel core i5 11th gen 15.6-inch (39.62 cm) fhd thin and light laptop (16gb ram/512gb ssd/windows 10/ms office/fingerprint reader/black/aluminium surface/1.7 kg), 20tds0g300",78990, ,https://m.media-amazon.com/images/I/71TuueY7JDS._AC_UY218_.jpg,Lenovo,intel i5,512.0,0.0,16,intel integrated
282,"(renewed) acer nitro 5 intel core i7-11th gen 15.6-inch (39.62 cms) 144 hz refresh rate gaming laptop (8gb ram/rtx 3050 graphics/1tb hdd + 256gb ssd/windows 10 hs/black/2.4 kgs), an515-57",76499, ,https://m.media-amazon.com/images/I/71LkPmeejVS._AC_UY218_.jpg,(Renewed),intel i7,256.0,1024.0,8,rtx 3050
283,"lenovo ideapad slim 5 11th gen intel core i5 14"" (35.56cm) fhd ips thin & light laptop (8gb/512gb ssd/windows 10/ms office/backlit keyboard/fingerprint reader/graphite grey/1.39kg), 82fe00qlin",62749, ,https://m.media-amazon.com/images/I/6177wJ0CIrL._AC_UY218_.jpg,Lenovo,intel i5,512.0,0.0,8,intel integrated
284,(renewed) lenovo thinkpad 14 inch (35.56 cm) hd laptop (core i5 3rd gen/16 gb ram/512 gb ssd/windows 10 pro/ms office 19/webcam/usb 3.0/wifi/bt/cardreader/pan india warranty/integrated graphics),36999, ,https://m.media-amazon.com/images/I/71Hf-WgKlHL._AC_UY218_.jpg,(Renewed),intel i5,512.0,0.0,16,intel integrated
285,"acer nitro 5 ryzen 5 hexa core 4600h - (8 gb/1 tb hdd/256 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650) an515-44/ an515-44-r9qa gaming laptop (15.6 inch, obsidian black, 2.3 kg)",65990, ,https://m.media-amazon.com/images/I/41vA2l6mZhL._AC_UY218_.jpg,acer,ryzen 5,256.0,1024.0,8,gtx1650
286,"lenovo ideapad slim 5 11th gen intel core i5 15.6"" (39.63cm) fhd ips thin & light laptop (16gb/512gb ssd/windows 10/ms office/nvidia geforce mx450/fingerprint reader/graphite grey/1.66kg), 82fg0148in",70690,4.2,https://m.media-amazon.com/images/I/61WNxdAeAoL._AC_UY218_.jpg,Lenovo,intel i5,512.0,0.0,16,mx450
287,"(renewed) dell inspiron 5593 15.6"" (39.62cms) laptop (10th gen core i5-1035g1/8gb/512gb ssd/windows 10 home plus + ms office/2gb nvidia mx230 gddr5 graphics), platinum silver",52990, ,https://m.media-amazon.com/images/I/51xaNJR+4lL._AC_UY218_.jpg,(Renewed),intel i5,512.0,0.0,8,mx230
288,"asus rog g703gi-e5148t 17.3"" (43.94 cms) fhd 144hz/3ms gaming laptop (8th gen intel core i9-8950hk/64gb/2tb sshd + 1.5tb nvme ssd/windows 10/gtx 1080 8gb graphics/4.70 kg), aluminum",556524, ,https://m.media-amazon.com/images/I/71lbxXG9NSL._AC_UY218_.jpg,ASUS,intel i9,1536.0,0.0,8,intel integrated
289,"asus vivobook 14 (2020) intel core i3-1005g1 10th gen 14 inches fhd thin and light business laptop (4gb/256gb nvme ssd/integrated graphics/windows 10/ms office 2019/silver/1.6 kg), x415ja-ek312ts",45900, ,https://m.media-amazon.com/images/I/71WuDXpTAlL._AC_UY218_.jpg,ASUS,intel i3,256.0,0.0,4,intel integrated
290,"lenovo ideapad flex 5 11th gen intel core i7 14 inches, fhd ips 2-in-1 touchscreen business laptop (16gb/512gb ssd/windows 10/ms office/digital pen/fingerprint reader/graphite grey/1.5kg)",99000,4.0,https://m.media-amazon.com/images/I/61ta6vDkCRL._AC_UY218_.jpg,Lenovo,intel i7,512.0,0.0,16,intel integrated
291,"hp 14 (2021) intel 11th gen core i3 14 inches fhd screen thin & light laptop, 8 gb ram, 256gb ssd, windows 10, ms office, built-in alexa, 1.47kg (14s-dy2500tu)",41490,4.2,https://m.media-amazon.com/images/I/71CiYVzgJsL._AC_UY218_.jpg,HP,intel i3,256.0,0.0,8,intel integrated
292,lenovo ideapad slim 5 amd ryzen 7 5700u 15.6 inches fhd ips thin & light business laptop (16gb/512gb ssd/windows 10/ms office/backlit keyboard/fingerprint reader/graphite grey/1.66kg),76490, ,https://m.media-amazon.com/images/I/71jP9Frsr6L._AC_UY218_.jpg,Lenovo,ryzen 7,512.0,0.0,16,intel integrated
293,(renewed) dell latitude 14 inch (35.56 cm) hd business laptop(core i5 2nd gen/8 gb ram/500 gb/integrated graphics/wifi/bluetooth/usb/windows 10 pro/ms office 19/pan india warranty),28999, ,https://m.media-amazon.com/images/I/61DRrZe9X8L._AC_UY218_.jpg,(Renewed),intel i5,0.0,0.0,8,intel integrated
294,"(renewed) lenovo thinkpad hybrid laptop t450s (slim) intel core i7 - 5600u processor, 12 gb ram, 1tb harddisk & 256 gb ssd, windows 10 pro, 14.1 inches notebook computer",44990, ,https://m.media-amazon.com/images/I/6172BVoWyHL._AC_UY218_.jpg,(Renewed),intel i7,256.0,0.0,12,intel integrated
295,"acer nitro 5 11th gen intel core i5 15.6-inch full hd 144hz gaming laptop (8gb ram/256 ssd+1tb hhd/w10h/rtx 3050 graphics/shale black/2.4 kgs), an515-57",79999, ,https://m.media-amazon.com/images/I/71evs2WKJjS._AC_UY218_.jpg,Acer,intel i5,256.0,0.0,8,rtx 3050
296,"(renewed) lenovo thinkpad hybrid laptop t450s (slim) intel core i7 - 5600u processor, 12 gb ram, 320 gb harddisk & 256 gb ssd, windows 10 pro, 14.1 inches notebook computer",43690, ,https://m.media-amazon.com/images/I/6172BVoWyHL._AC_UY218_.jpg,(Renewed),intel i7,256.0,0.0,12,intel integrated
