Title,Rating,Price,link,Specifications
Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"Rs. 33,990",https://rukminim1.flixcart.com/image/312/312/k73nlow0/air-conditioner-new/g/h/3/ls18i36fh-1-5-split-inverter-lloyd-original-imafpfygk7krh8uj.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1420 W
,,,,Noise level: 42 dB
,,,,Refrigerant: R-32
,,,,Wi-Fi Enabled: No
,,,,1 Year Comprehensive Warranty and 5 Years Warranty on Compressor
,,
Midea 1.5 Ton 3 Star Split Inverter AC  - White,4.3,"Rs. 29,990",https://rukminim1.flixcart.com/image/312/312/kcz4rrk0/air-conditioner-new/e/d/2/24k-3-star-santis-pro-dlx-inverter-r410a-mi003-24k-3-star-inv-original-imaftzfytzvgnp8d.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1800 W
,,,,Noise level: 42 dB
,,,,Refrigerant: R410A
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 10 Years on Compressor
,,
SAMSUNG 1 Ton 4 Star Split Inverter AC  - White,4.2,"Rs. 29,490",https://rukminim1.flixcart.com/image/312/312/kl8ccy80/air-conditioner-new/v/r/x/ar12aymzabe-split-samsung-inverter-original-imagye8cxeeuevz3.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 634.66 W
,,,,Noise level: 44 db
,,,,Wi-Fi Enabled: No
,,,,"1 Year Comprehensive Warranty on Product, 1 Years on PCB, 1 Years on Condenser, 1 Years Free Gas Recharge and 10 Years on Compressor"
,,
MarQ By Flipkart 1 Ton 3 Star Split Inverter AC  - White,4.3,"Rs. 24,490",https://rukminim1.flixcart.com/image/312/312/kmgn0cw0/air-conditioner-new/x/b/d/fkac103siaa21-split-marq-by-flipkart-inverter-original-imagfc9cxm5hz8xf.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1195 W
,,,,Noise level: 44 dB
,,,,Refrigerant: R-32
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 5 Years on Compressor from MarQ by Flipkart
,,
Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"Rs. 42,990",https://rukminim1.flixcart.com/image/312/312/km3s1ow0/air-conditioner-new/p/2/z/ic312ebtu-split-blue-star-inverter-original-imagf2zpawvzdyxh.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 836.04 W
,,,,Noise level: 63 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 52 DegreeC
,,,,Wi-Fi Enabled: No
,,,,1 Year Warranty on Product and 10 Years on Inverter Compressor
,,
Blue Star 1.5 Ton 4 Star Split Inverter AC  - White,4.2,"Rs. 37,999",https://rukminim1.flixcart.com/image/312/312/kmkxbww0/air-conditioner-new/2/j/b/ic418fbtu-split-blue-star-inverter-original-imagfgmfezjxzgbf.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 977.46 W
,,,,Noise level: 58 dB
,,,,Refrigerant: R32
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 10 Years Warranty on Inverter Compressor from Blue Star
,,
