Title,Rating,Price,Link,Specifications
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 3 x USB
,,,,1 Year Warranty on Product and 1 Year Additional Warranty for Panel
,,
LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,4.3,"Rs. 38,990",https://rukminim1.flixcart.com/image/312/312/kqse07k0/television/j/r/b/43up7500ptz-43up7500ptz-lg-original-imag4q3zcqt5n3yv.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: WebOS
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,20 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,2 x HDMI | 1 x USB
,,,,1 Year LG India Comprehensive Warranty and Additional 1 Year Warranty is Applicable on Panel/Module from the Date of Purchase
,,
Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,"Rs. 17,499",https://rukminim1.flixcart.com/image/312/312/kf5pzm80/television/f/h/e/mi-l32m6-ei-original-imafvzefsh27shv6.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,HD Ready 1366 x 768 Pixels
,,,,20 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,1 Year on Product and 2 Years for Panel
,,
OnePlus Y Series 108 cm (43 inch) Full HD LED Smart Android TV,4.3,"Rs. 29,499",https://rukminim1.flixcart.com/image/312/312/kqidx8w0/television/o/h/9/43fa0a00-oneplus-original-imag4gy9perzvrdv.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,Full HD 1920 x 1080 Pixels
,,,,20 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,2 x HDMI | 2 x USB
,,,,LED
,,,,1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase
,,
LG 108 cm (43 inch) Full HD LED Smart TV,4.4,"Rs. 33,990",https://rukminim1.flixcart.com/image/312/312/ked56kw0/television/r/m/a/lg-43lm5650pta-43lm5650pta-original-imafvfq5jpcjzh2m.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: WebOS
,,,,Full HD 1920 x 1080 Pixels
,,,,20 W Speaker Output
,,,,50 Hz Refresh Rate
,,,,2 x HDMI | 1 x USB
,,,,IPS
,,,,1 Year LG India Comprehensive Warranty and Additional 1 Year Warranty is Applicable on Panel/Module
,,
SAMSUNG 108 cm (43 inch) Full HD LED Smart TV,4.4,"Rs. 32,990",https://rukminim1.flixcart.com/image/312/312/kfoapow0/television/v/h/k/samsung-ua43te50fakxxl-original-imafw2r7knjww635.jpeg?q=70,Netflix|Disney+Hotstar|Youtube
,,,,Operating System: Tizen
,,,,Full HD 1920 x 1080 Pixels
,,,,20 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,2 x HDMI | 1 x USB
,,,,1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel
,,
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.4,"Rs. 14,499",https://rukminim1.flixcart.com/image/312/312/kiyw9e80-0/television/p/0/w/32path0011-thomson-original-imafynyvsmeuwtzr.jpeg?q=70,Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,HD Ready 1366 x 768 Pixels
,,,,24 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,A+ Panel
,,,,1 Year Warranty on Product & 6 Months on Accessories
,,
Title,Rating,Price,Link,Specifications
Mi 4A Horizon Edition 108 cm (43 inch) Full HD LED Smart Android TV,4.3,"Rs. 27,999",https://rukminim1.flixcart.com/image/312/312/kr2e3680/television/9/l/o/l43m6-ei-mi-original-imag4xqrfhrewu2c.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,Full HD 1920 x 1080 Pixels
,,,,20 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,1 Year Warranty and 2 Years for Panel
,,
Mi 5X 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,3.9,"Rs. 47,999",https://rukminim1.flixcart.com/image/312/312/ksoz53k0/television/f/y/6/l55m6-es-mi-original-imag67749wqtwgyp.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,40 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,1 Year Warranty and 2 Years for Panel
,,
TOSHIBA U50 Series 126 cm (50 inch) Ultra HD (4K) LED Smart TV with Dolby Vision & ATMOS,4.3,"Rs. 34,990",https://rukminim1.flixcart.com/image/312/312/kex5ci80/television/2/f/s/toshiba-50u5050-original-imafvhn4ybagp54e.jpeg?q=70,Netflix|Prime Video|Youtube
,,,,Operating System: VIDAA
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,30 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,Yupp TV
,,,,1 Year Warranty
,,
SAMSUNG The Frame 2021 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,4.3,"Rs. 1,29,990",https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Tizen
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,40 W Speaker Output
,,,,120 Hz Refresh Rate
,,,,4 x HDMI | 2 x USB
,,,,1 Year Product Warranty and 1 Year Additional on Panel
,,
Hisense A6GE Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,,"Rs. 31,999",https://rukminim1.flixcart.com/image/312/312/ksgehzk0/television/b/z/n/43a6ge-43a6ge-hisense-original-imag6ynupxfyvtge.jpeg?q=70,Netflix|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,24 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,A+ Grade
,,,,1 Year Warranty
,,
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search,4.3,"Rs. 36,999",https://rukminim1.flixcart.com/image/312/312/kn97te80/television/p/r/s/55k71-55k71-iffalcon-original-imagfyzkdreg6swh.jpeg?q=70,Netflix|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,30 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,A+ Grade
,,,,1 Year Warranty on Product
,,
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV with Voice Search,4.3,"Rs. 19,240",https://rukminim1.flixcart.com/image/312/312/kk76wsw0/television/s/u/h/ua32te40fakbxl-samsung-original-imafzhzw3wzyzcgg.jpeg?q=70,Netflix|Disney+Hotstar|Youtube
,,,,Operating System: Tizen
,,,,HD Ready 1366 x 768 Pixels
,,,,20 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,2 x HDMI | 1 x USB
,,,,1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel
,,
SAMSUNG The Frame 2021 Series 138 cm (55 inch) QLED Ultra HD (4K) Smart TV,4.3,"Rs. 93,990",https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Tizen
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,40 W Speaker Output
,,,,120 Hz Refresh Rate
,,,,4 x HDMI | 2 x USB
,,,,1 Year Product Warranty and 1 Year Additional on Panel
,,
SONY BRAVIA X7400H 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV,4.6,"Rs. 69,999",https://rukminim1.flixcart.com/image/312/312/kd4uj680/television/g/8/8/sony-kd-55x7400h-original-imafu3nnwz2guq8u.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,20 W Speaker Output
,,,,50 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,1 Year Manufacturer Warranty
,,
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.4,"Rs. 13,990",https://rukminim1.flixcart.com/image/312/312/kjiwfbk0-0/television/b/m/a/32hdx7xpro-32hdx7xpro-kodak-original-imafz2zfmh77hczv.jpeg?q=70,Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,HD Ready 1366 x 768 Pixels
,,,,24 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,A+
,,,,1 Year Warranty on Product & 6 Months on Accessories
,,
TCL S65A Series 79.97 cm (32 inch) HD Ready LED Smart Android TV,4.2,"Rs. 16,499",https://rukminim1.flixcart.com/image/312/312/kr3tj0w0/television/s/t/f/led-32s65a-32s65a-tcl-original-imag4z2pm9qrmytd.jpeg?q=70,Netflix|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,HD Ready 1366 x 768 Pixels
,,,,20 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,2 x HDMI | 1 x USB
,,,,1 year Warranty Provided by TCL from Date of Purchase
,,
