,Title,Rating,Price,Link,Company,Processor,Display,ssd,hdd,ram
202,apple macbook air m1 - (8 gb/256 gb ssd/mac os big sur) mgn93hn/a,4.7,92900,https://rukminim1.flixcart.com/image/312/312/khdqnbk0/computer/f/y/t/apple-original-imafxfyqydgvrkzv.jpeg?q=70,APPLE,others,15.6,256.0,0.0,8
203,hp 15s ryzen 5 quad core 3500u - (8 gb/512 gb ssd/windows 10 home) 15s-eq0500au thin and light laptop,4.4,54990,https://rukminim1.flixcart.com/image/312/312/k7531jk0/computer/e/a/h/hp-original-imafpfs893zu5mhb.jpeg?q=70,HP,ryzen 5,13.3,512.0,0.0,8
204,msi stealth 15m core i7 11th gen - (16 gb/1 tb ssd/windows 10 home/6 gb graphics/nvidia geforce rtx 30...,4.0,134990,https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/i/h/u/stealth-15m-a11uek-227in-notebook-msi-original-imag2q57shrhyszs.jpeg?q=70,MSI,intel i7,15.6,1024.0,0.0,16
205,msi ge66 raider core i7 10th gen - (32 gb/1 tb ssd/windows 10 home/8 gb graphics/nvidia geforce rtx 20...,5.0,194990,https://rukminim1.flixcart.com/image/312/312/kfpq5jk0/computer/h/t/b/msi-na-gaming-laptop-original-imafw3yhmdkzmhzr.jpeg?q=70,MSI,intel i7,15.6,1024.0,0.0,8
206,dell inspiron 3501 core i5 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 10 home/2 gb graphics) inspiro...,4.4,68999,https://rukminim1.flixcart.com/image/312/312/kkwwu4w0/computer/h/j/y/na-laptop-dell-original-imagy5jv4vyhhfya.jpeg?q=70,DELL,intel i5,15.6,256.0,1024.0,8
207,dell inspiron core i3 11th gen - (8 gb/1 tb hdd/windows 10) inspiron 3501 thin and light laptop,4.0,42820,https://rukminim1.flixcart.com/image/312/312/knm2s280/computer/m/p/g/inspiron-3501-notebook-dell-original-imag29azafkdgysg.jpeg?q=70,DELL,intel i3,15.6,0.0,1024.0,8
208,lenovo ideapad slim 5i core i5 11th gen intel evo - (8 gb/1 tb hdd/256 gb ssd/windows 10 home) 15itl05...,4.4,68500,https://rukminim1.flixcart.com/image/312/312/klfhk7k0/computer/w/u/x/na-thin-and-light-laptop-lenovo-original-imagyk4hedcydqx5.jpeg?q=70,lenovo,intel i5,15.6,256.0,1024.0,8
209,lenovo yoga 7 core i5 11th gen - (16 gb/512 gb ssd/windows 10 home) 14itl5 2 in 1 laptop,4.4,86990,https://rukminim1.flixcart.com/image/312/312/kll7bm80/computer/1/o/f/na-thin-and-light-laptop-lenovo-original-imagyzfyhy6eexxu.jpeg?q=70,Lenovo,intel i5,15.6,512.0,0.0,16
210,asus vivobook 17 ryzen 5 hexa core 5500u - (16 gb/512 gb ssd/windows 10 home) m712ua-au521ts laptop,4.4,62690,https://rukminim1.flixcart.com/image/312/312/kerfl3k0/computer/j/9/y/asus-original-imafvd8kjhgjcd82.jpeg?q=70,ASUS,ryzen 5,14,512.0,0.0,16
211,asus zenbook 13 (2021) oled core i5 11th gen - (16 gb/512 gb ssd/windows 10 home) ux325ea-kg511ts thin...,4.4,84990,https://rukminim1.flixcart.com/image/312/312/ktop5e80/computer/n/h/e/na-thin-and-light-laptop-asus-original-imag6ywskjzsd2av.jpeg?q=70,ASUS,intel i5,17.3,512.0,0.0,16
212,msi modern 14 core i5 11th gen - (8 gb/512 gb ssd/windows 10 home) modern 14 b11mo-093in thin and ligh...,4.4,54990,https://rukminim1.flixcart.com/image/312/312/klzhq4w0/computer/s/k/x/na-thin-and-light-laptop-msi-original-imagyzpcazfbmhjp.jpeg?q=70,MSI,intel i5,13.3,512.0,0.0,8
213,asus core i3 11th gen - (8 gb/512 gb ssd/windows 10 home) k413ea-eb303ts thin and light laptop,4.0,46990,https://rukminim1.flixcart.com/image/312/312/klb78nk0/computer/w/y/5/asus-original-imagyhyqxmgfqtdj.jpeg?q=70,ASUS,intel i3,14,512.0,0.0,8
214,hp pavilion core i7 10th gen - (16 gb + 32 gb optane/512 gb ssd/windows 10 home/4 gb graphics/nvidia g...,3.8,90190,https://rukminim1.flixcart.com/image/312/312/kafol8w0/computer/f/g/r/hp-original-imafsyek3szcz87t.jpeg?q=70,HP,intel i7,14,512.0,0.0,16
215,asus zenbook classic core i5 10th gen - (8 gb/512 gb ssd/windows 10 home) ux333fa-a5822ts thin and lig...,3.8,64990,https://rukminim1.flixcart.com/image/312/312/k2dm7bk0/computer/x/t/s/asus-na-thin-and-light-laptop-original-imafhqfb3dpyagyk.jpeg?q=70,ASUS,intel i5,15.6,512.0,0.0,8
216,msi modern 14 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home) modern 14 b10mw-423in laptop,4.5,49990,https://rukminim1.flixcart.com/image/312/312/kjabs7k0/computer/z/d/6/msi-original-imafywfypuwbubmn.jpeg?q=70,MSI,intel i5,13.3,512.0,0.0,8
217,asus zenbook 13 core i5 11th gen - (8 gb/512 gb ssd/windows 10 home) ux325ea-eg501ts thin and light la...,4.9,72990,https://rukminim1.flixcart.com/image/312/312/ktop5e80/computer/g/1/l/na-thin-and-light-laptop-asus-original-imag6yuhjqbngqhy.jpeg?q=70,ASUS,intel i5,14,512.0,0.0,8
218,msi modern 15 ryzen 5 octa core - (8 gb/512 gb ssd/windows 10 home) modern 15 a5m-065in thin and light...,4.2,54990,https://rukminim1.flixcart.com/image/312/312/kr9jafk0/computer/l/1/w/modern-15-a5m-thin-and-light-laptop-msi-original-imag53fadjekusnc.jpeg?q=70,MSI,ryzen 5,13.3,512.0,0.0,8
219,hp pavilion core i5 10th gen - (8 gb + 32 gb optane/512 gb ssd/windows 10 home/4 gb graphics/nvidia ge...,4.2,69890,https://rukminim1.flixcart.com/image/312/312/kafol8w0/computer/f/g/r/hp-original-imafsyek3szcz87t.jpeg?q=70,HP,intel i5,15.6,512.0,0.0,8
220,lenovo legion core i5 9th gen - (8 gb/1 tb hdd/256 gb ssd/windows 10 home/4 gb graphics) y540-15irh-pg...,4.2,59990,https://rukminim1.flixcart.com/image/312/312/k9pynww0/computer/y/k/z/lenovo-legion-y540-gaming-laptop-original-imafrggru5fzzgyq.jpeg?q=70,Lenovo,intel i5,15.6,256.0,1024.0,8
221,msi pulse gl66 core i7 11th gen - (16 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce rtx 3...,4.5,108990,https://rukminim1.flixcart.com/image/312/312/kr3tj0w0/computer/b/p/r/na-notebook-msi-original-imag4z5zs2xkvmwh.jpeg?q=70,MSI,intel i7,15.6,512.0,0.0,16
222,dell inspiron 7000 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home/2 gb graphics) 7490 thin and li...,4.5,69990,https://rukminim1.flixcart.com/image/312/312/k5zn9u80/computer/c/g/z/dell-na-thin-and-light-laptop-original-imafzjvtmchmyfx4.jpeg?q=70,DELL,intel i5,15.6,512.0,0.0,8
223,acer nitro 5 ryzen 5 hexa core 4600h - (8 gb/1 tb hdd/256 gb ssd/windows 10 home/4 gb graphics/nvidia ...,4.5,66990,https://rukminim1.flixcart.com/image/312/312/ke0a7ww0/computer/t/f/n/acer-original-imafusazjxw4v99h.jpeg?q=70,acer,ryzen 5,14,256.0,1024.0,8
224,lenovo yoga 7 core i7 11th gen intel evo - (16 gb/512 gb ssd/windows 10 home) 14itl5 2 in 1 laptop,4.7,97990,https://rukminim1.flixcart.com/image/312/312/kkimfm80/computer/q/g/o/na-2-in-1-laptop-lenovo-original-imafzua4zhhpyyz8.jpeg?q=70,lenovo,intel i7,15.6,512.0,0.0,16
225,msi gf63 thin core i5 10th gen - (8 gb/1 tb hdd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650 ...,4.3,55990,https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70,MSI,intel i5,14,0.0,1024.0,8
226,asus zenbook 13 (2021) oled core i7 11th gen - (16 gb/1 tb ssd/windows 10 home) ux325ea-kg701ts thin a...,4.0,104990,https://rukminim1.flixcart.com/image/312/312/ktop5e80/computer/n/h/e/na-thin-and-light-laptop-asus-original-imag6ywskjzsd2av.jpeg?q=70,ASUS,intel i7,15.6,1024.0,0.0,16
227,asus vivobook ultra 15 core i5 11th gen - (16 gb/1 tb hdd/256 gb ssd/windows 10 home) k513ea-bq563ts t...,4.5,67990,https://rukminim1.flixcart.com/image/312/312/klqx30w0/computer/t/s/l/k513ea-bq303ts-thin-and-light-laptop-asus-original-imagytf9tqmzfxxz.jpeg?q=70,ASUS,intel i5,13.3,256.0,1024.0,16
228,msi stealth 15m core i7 11th gen - (16 gb/1 tb ssd/windows 10 home/6 gb graphics/nvidia geforce rtx 30...,4.0,134990,https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/i/h/u/stealth-15m-a11uek-227in-notebook-msi-original-imag2q57shrhyszs.jpeg?q=70,MSI,intel i7,15.6,1024.0,0.0,16
229,dell inspiron core i5 11th gen - (4 gb/1 tb hdd/256 gb ssd/windows 10) inspiron 3501 thin and light la...,4.3,55590,https://rukminim1.flixcart.com/image/312/312/kp4difk0/computer/f/n/h/inspiron-3501-notebook-dell-original-imag3evhn9m7wh58.jpeg?q=70,DELL,intel i5,15.6,256.0,1024.0,4
230,dell inspiron core i5 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 10/2 gb graphics) inspiron 3511 lap...,4.7,66630,https://rukminim1.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70,DELL,intel i5,15.6,256.0,1024.0,8
231,lenovo ideapad 3 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home/2 gb graphics) 15iml05 thin and l...,4.4,69890,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70,Lenovo,intel i5,15.6,512.0,0.0,8
232,lenovo ideapad slim 5i core i5 11th gen intel evo - (8 gb/1 tb hdd/256 gb ssd/windows 10 home) 15itl05...,4.4,68500,https://rukminim1.flixcart.com/image/312/312/klfhk7k0/computer/w/u/x/na-thin-and-light-laptop-lenovo-original-imagyk4hedcydqx5.jpeg?q=70,lenovo,intel i5,15.6,256.0,1024.0,8
233,acer aspire 3 core i3 11th gen - (4 gb/256 gb ssd/windows 10 home) a315-58 thin and light laptop,3.7,48470,https://rukminim1.flixcart.com/image/312/312/kshtxu80/computer/2/a/s/aspire-3-thin-and-light-laptop-acer-original-imag6fvccahrjyv6.jpeg?q=70,acer,intel i3,15.6,256.0,0.0,4
234,dell vostro core i5 11th gen - (8 gb/512 gb ssd/windows 10/2 gb graphics) vostro 3400 thin and light l...,3.7,64790,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/computer/l/4/y/na-notebook-dell-original-imagfy6adtf9apuh.jpeg?q=70,DELL,intel i5,15.6,512.0,0.0,8
235,apple macbook pro with touch bar core i5 10th gen - (16 gb/512 gb ssd/mac os catalina) mwp72hn/a,4.5,160990,https://rukminim1.flixcart.com/image/312/312/kamtsi80/computer/z/p/y/apple-na-thin-and-light-laptop-original-imafs5nhtfzsvwy6.jpeg?q=70,APPLE,intel i5,14,512.0,0.0,16
