,Title,Rating,Price,link,Company,Condensor Coil,Wi-Fi,Noise_Level,Power_Consumption,TON_value,split
28,MarQ By Flipkart 1 Ton 3 Star Split Inverter AC  - White,4.3,24490.0,https://rukminim1.flixcart.com/image/312/312/kmgn0cw0/air-conditioner-new/x/b/d/fkac103siaa21-split-marq-by-flipkart-inverter-original-imagfc9cxm5hz8xf.jpeg?q=70,MarQ, Copper, No,44.0,1195.0,1.0,1
29,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,4.2,42990.0,https://rukminim1.flixcart.com/image/312/312/km3s1ow0/air-conditioner-new/p/2/z/ic312ebtu-split-blue-star-inverter-original-imagf2zpawvzdyxh.jpeg?q=70,Blue, Copper, No,63.0,836.0,1.0,1
30,Blue Star 1.5 Ton 4 Star Split Inverter AC  - White,4.2,37999.0,https://rukminim1.flixcart.com/image/312/312/kmkxbww0/air-conditioner-new/2/j/b/ic418fbtu-split-blue-star-inverter-original-imagfgmfezjxzgbf.jpeg?q=70,Blue, Copper, No,58.0,977.0,1.0,1
31,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,4.2,35490.0,https://rukminim1.flixcart.com/image/312/312/kl421e80/air-conditioner-new/o/5/u/ar18ty5qawknna-split-samsung-inverter-original-imagyb23g9erhyzk.jpeg?q=70,SAMSUNG, Copper, No,52.0,1465.0,1.0,1
32,"Whirlpool 1 Ton 3 Star Split AC  - White, Grey",4.1,24990.0,https://rukminim1.flixcart.com/image/312/312/klscivk0/air-conditioner-new/f/w/f/1-5t-magicool-elite-pro-3s-copr-split-whirlpool-fixed-speed-original-imagyuyfratkeyf5.jpeg?q=70,Whirlpool, Copper, No,33.0,980.0,1.0,1
33,LG Convertible 4-in-1 Cooling 1 Ton 5 Star Split Dual Inverter AC  - White,4.3,35490.0,https://rukminim1.flixcart.com/image/312/312/klfhk7k0/air-conditioner-new/s/8/c/ms-q18ynza-split-lg-dual-inverter-original-imagyk3ergg9fveh.jpeg?q=70,LG, Copper, No,21.0,571.0,4.0,1
34,Whirlpool 1.5 Ton 3 Star Split AC  - White,4.2,30490.0,https://rukminim1.flixcart.com/image/312/312/k8ndrww0/air-conditioner-new/n/d/h/sar18e30nc0-1-5-split-fixed-speed-whirlpool-original-imafqm2xah3vawcc.jpeg?q=70,Whirlpool, Copper, No,35.0,1660.0,1.0,1
35,"SAMSUNG 1 Ton 3 Star Split Inverter AC  - White, Blue1",4.2,28990.0,https://rukminim1.flixcart.com/image/312/312/kt7jv680/air-conditioner-new/e/m/u/ar12ty3qbbunna-ar12ty3qbbuxna-split-inverter-samsung-original-imag6hwykd3qrmtc.jpeg?q=70,SAMSUNG, Copper, No,54.0,1150.0,1.0,1
36,Voltas 1 Ton 3 Star Split Inverter AC  - White,4.3,28990.0,https://rukminim1.flixcart.com/image/312/312/kae95e80/air-conditioner-new/z/n/u/123v-czt3-1-split-inverter-voltas-original-imafrz8yr9z99q9h.jpeg?q=70,Voltas, Copper, No,41.0,1130.0,1.0,1
37,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,4.1,38300.0,https://rukminim1.flixcart.com/image/312/312/km9ht3k0/air-conditioner-new/i/8/i/ar18ay5zapg-split-samsung-inverter-original-imagf7qhtbfgdsew.jpeg?q=70,SAMSUNG, Copper, No,45.0,743.0,1.0,1
