,title,description,date,price,img,path
317,"Iphone 7 32gb, 128gb",Selling band new condition iPhone 7 bill phone and charger . Available in all variants and colour options.  1. iPhone 6 16 GB 6000 2. iPhone 6 32 GB 7000 3. iPhone 6 64 GB 8000 4. iphone se 32gb 6000 5. iPhone 6s 16 GB 7500 6. iPhone 6s 32 GB 8500 7. iPhone 6s 64 GB 9500 8. iPhone 7  32 GB  11500 9. iPhone 7 128 GB  13500 10. iPhone 7 256 GB 15000 11. iPhone 7 Plus 32 GB 17000 12. iPhone 7 Plus 128 GB 19000 13. iPhone 8 64 GB 18000 14. iPhone 8 256 GB 20000 15. iPhone X 64 GB 27000 16. iPhone X 256 GB 29000 17. iphone 5s 16 GB 4500 18. Iphone 5s 32 GB 5000   Fixed price don’t bargain and waste your time.,2021-09-26T06:44:30+0000,"₹ 15,000",https://apollo-singapore.akamaized.net:443/v1/files/juk5qzz0ddf01-IN/image,images/317.png
318,11 pro 256gb Green,"Selling my iPhone 11pro  Back glass changed . Battery 89%. All working fine.All Genuine accessories. Superb phone, well kept  . Any one genuinely interested .,pls feel free to contact .",2021-09-26T06:44:24+0000,"₹ 52,500",https://apollo-singapore.akamaized.net:443/v1/files/u9ymusjnwhyk1-IN/image,images/318.png
319,I phone 5s,Change mobile becouse,2021-09-26T06:42:54+0000,"₹ 12,000",https://apollo-singapore.akamaized.net:443/v1/files/lzmp0k2469rv2-IN/image,images/319.png
320,AirPods 1st generation,its 3 years old so bit scratches are there..and battery life is also reduced for pods. Boths pods work for 1 hr when charged. They get charged in 15-20 once kept in case. I use these for whole day. My case charging lasts upto 2-3 days,2021-09-25T16:20:52+0000,"₹ 3,500",https://apollo-singapore.akamaized.net:443/v1/files/eercan7y4on-IN/image,images/320.png
321,apple fast charger with usb,fast charger with usb,2021-09-25T16:18:46+0000,"₹ 1,200",https://apollo-singapore.akamaized.net:443/v1/files/5tke1psyd7g73-IN/image,images/321.png
322,Galaxy Z Fold3 256GB,10 Days old phone with condition like new. With Original Cover.,2021-09-21T19:04:35+0000,"₹ 1,35,000",https://apollo-singapore.akamaized.net:443/v1/files/g829ycml8z401-IN/image,images/322.png
323,iPHONE SE 2020 64GB| 128GB- Exchange option | emi | cod,"Condition -> 100% Brand New Condition  All models iPhones, iWatch, Airpods,Macbook.  •• iPhone Se to iPhone 12Pro Max   Condition -> 100% Brand New Condition  Fill Box Kit With All Accessories # Guaranteed Lowest Rate    # Exchange Available # EMI Available on Old Mobile •• Credit Card EMI Available •• Zest Money   # Guaranteed Highest Exchange Rate For your Mobile # Provide Extra Services •• COD Available All Over India",2021-09-12T12:26:25+0000,"₹ 26,900",https://apollo-singapore.akamaized.net:443/v1/files/w3kl5krsov3g2-IN/image,images/323.png
324,I PHONE 7 128 GB AVAILABLE IN BRAND NEW BOX PACKED IN LOWEST RATE,Brand New Refurbished Apple I Phones In Lowest Rate Cod Available In All Over Delhi NCR    Bills/ Cash Memo Provide With 7 Days Replacement  i phone 4s 16gb 3499/-  i phone 5s 16gb 6999/-  i phone 6 64gb 11499/-  i phone 6s 64gb 13499/-  i phone 7 128gb 18999/-   These are the models.. Rest Of Model In Availability Price Are Fixed So Please Order Book On Whats App For More Detail Cod Available Delivery Charge Applicable For Cod  ASAP CONTACT LIMITED OFFER,2021-09-23T09:33:39+0000,"₹ 18,999",https://apollo-singapore.akamaized.net:443/v1/files/6yruntcemeny1-IN/image,images/324.png
325,Realme  x7 max  8/256,2 months old in excellent condition,2021-09-25T16:16:47+0000,"₹ 24,000",https://apollo-singapore.akamaized.net:443/v1/files/ktbargs0hhan2-IN/image,images/325.png
326,iPhon X64gb,"iPhon X64gb Black Colour  Face ID not working  Battery health 81% Original box,Charger & cable",2021-09-25T16:12:32+0000,"₹ 24,000",https://apollo-singapore.akamaized.net:443/v1/files/r1faf26nbxlj-IN/image,images/326.png
327,Google pixel 3a,Google pixel 3a Selling as I have 2 phones,2021-09-25T16:11:11+0000,"₹ 16,000",https://apollo-singapore.akamaized.net:443/v1/files/9lodz3r46kfh3-IN/image,images/327.png
328,Samsung A51 white 6/128 new condition,Samsung A51 brand new condition with bill box 1 yr old,2021-09-25T16:07:19+0000,"₹ 14,999",https://apollo-singapore.akamaized.net:443/v1/files/krkc3r9tm7821-IN/image,images/328.png
329,0ne plus 6T 128 gb,Good condition bill box charger,2021-09-25T15:57:23+0000,"₹ 16,500",https://apollo-singapore.akamaized.net:443/v1/files/xxm2o0a2n9he2-IN/image,images/329.png
330,Ipad 11inch new with keypad,Ipad 11inch new with keypad 3year warranty apple plus,2021-09-25T15:45:02+0000,"₹ 70,000",https://apollo-singapore.akamaized.net:443/v1/files/plmgl5t4p57u3-IN/image,images/330.png
331,OPPO Reno 6pro,Ram12 GB.256 Good quality money problem with bill and charger,2021-09-25T15:29:41+0000,"₹ 35,000",https://apollo-singapore.akamaized.net:443/v1/files/5vd7nkxq8r123-IN/image,images/331.png
332,"I phone 6 , 16gb",Only Serious buyer contact me  mint condition phone me ik bhi kami nhi hai  bettry health 100%hai,2021-09-25T15:24:06+0000,"₹ 8,000",https://apollo-singapore.akamaized.net:443/v1/files/adx88git8cgp3-IN/image,images/332.png
333,iPhone 12 Pro Max 128GB Gold with Bill,"It’s in extremely new condition, no scratches at all. Used with case and screen protector from day 1. Bill,Box and charging cable with it. Purchased from Unicorn Store, delhi.",2021-09-25T15:17:14+0000,"₹ 90,000",https://apollo-singapore.akamaized.net:443/v1/files/e97v85jymz1k2-IN/image,images/333.png
334,I phone 7plus,Mint condition  32 gb,2021-09-25T15:15:34+0000,"₹ 15,000",https://apollo-singapore.akamaized.net:443/v1/files/va15o2di00b81-IN/image,images/334.png
335,HONOR 6 X SILVER BLACK.,SELLING HONOR 6 X.  3 GB/32 GB.  GOOD CONDITION.  FINGERPRINT WORKING.  WITH ERD CHARGER AND ID PROOF.  NO PROBLEM IN THE PHONE.,2021-09-25T15:15:08+0000,"₹ 4,000",https://apollo-singapore.akamaized.net:443/v1/files/dhvgj2phpma6-IN/image,images/335.png
336,IPad Mini 5th Gen 64gb In Warranty till feb 22,"Hi,  I'm selling my ipad mini 5th generation wifi Version. Ipad is in excellent condition with bill box charger and additional 1 auto magnet lock cover worth 2k and a trink guard worth 800 on already installed on it. No need to buy anything additional. I also have 2 lighting cable,  original one + mgr lighting cable. Sometime lighting cable not work properly so you can use MGR both cable are in new Condition. Price not much negotiable. Location : Rohini Sec-22 MAIT college Reason For Selling :- Ipad Pro m1.",2021-09-25T15:08:38+0000,"₹ 24,999",https://apollo-singapore.akamaized.net:443/v1/files/gvotp4yjrmkt1-IN/image,images/336.png
